Timestamp,Temperature,Humidity,AirQuality,Dust,Source,Temp_Hum_Index,Air_Dust_Product,AirQuality_Log,Dust_Log,Air_Dust_Ratio,Anomaly,Norm_Air,Norm_Dust,Norm_Product,Kitchen_Penalty,Weighted_Score,AI_Score,AI_Category
1315802,26.7,92.0,186.5,110.7,outdoor,24.564,20645.55,5.233778845410465,4.715816706075155,1.6696508504923904,1,0.0746,0.4428,0.03303288,0.0,0.138178932,51.3,GOOD
1320802,26.7,92.0,209.2,110.7,outdoor,24.564,23158.44,5.348059458442851,4.715816706075155,1.872873769024172,-1,0.08367999999999999,0.4428,0.037053504,0.0,0.22314042559999997,89.1,GOOD
1325802,26.7,92.0,173.8,110.7,outdoor,24.564,19239.660000000003,5.163642463221435,4.715816706075155,1.5559534467323188,1,0.06952,0.4428,0.030783456000000004,0.0,0.1354031184,50.2,GOOD
1330802,26.7,92.0,190.9,110.6,outdoor,24.564,21113.54,5.256974403013654,4.71492104994721,1.7105734767025091,1,0.07636,0.44239999999999996,0.033781664,0.0,0.1390480496,51.7,GOOD
1335802,26.7,92.0,165.7,110.4,outdoor,24.564,18293.28,5.116195789756748,4.713127327493184,1.4874326750448832,-1,0.06627999999999999,0.44160000000000005,0.029269247999999998,0.0,0.2133567872,84.6,GOOD
1340802,26.7,92.0,173.8,110.5,outdoor,24.564,19204.9,5.163642463221435,4.7140245909001735,1.5587443946188342,1,0.06952,0.442,0.030727840000000003,0.0,0.13521877599999998,50.1,GOOD
1345802,26.7,92.0,173.8,110.5,outdoor,24.564,19204.9,5.163642463221435,4.7140245909001735,1.5587443946188342,1,0.06952,0.442,0.030727840000000003,0.0,0.13521877599999998,50.1,GOOD
1350802,26.7,92.0,186.5,110.7,outdoor,24.564,20645.55,5.233778845410465,4.715816706075155,1.6696508504923904,1,0.0746,0.4428,0.03303288,0.0,0.138178932,51.3,GOOD
1355802,26.7,92.0,178.0,110.9,outdoor,24.564,19740.2,5.187385805840755,4.71760561531788,1.5907059874888292,1,0.0712,0.44360000000000005,0.03158432,0.0,0.136505648,50.6,GOOD
1360802,26.7,92.0,178.0,110.8,outdoor,24.564,19722.4,5.187385805840755,4.716711560720999,1.592128801431127,1,0.0712,0.4432,0.031555839999999995,0.0,0.136413376,50.6,GOOD
91202,28.5,85.0,5000.0,131.2,indoor,24.225,656000.0,8.517393171418904,4.884315927417586,37.821482602118,-1,2.0,0.5247999999999999,1.0496,0.0,1.312896,500.0,HAZARDOUS
